data;fatturato;settore
01/02/13;815.97;Calcio
21/02/13;4775.75;Fitness
01/04/13;4775.75;Fitness
06/04/13;1962.15;Casual
09/07/13;1809.87;Basket
09/07/13;2718.36;Pesca
15/07/13;2168.74;Pesca
16/07/13;1200.76;Basket
16/07/13;3336.2;Casual
16/07/13;2726.27;Pesca
16/07/13;2820.42;Running
19/07/13;4146.99;Pesca
23/07/13;1614.89;Casual
23/07/13;869.19;Fitness
23/07/13;7261.87;Pesca
24/07/13;3432.54;Fitness
24/07/13;1604.65;Pesca
25/07/13;3486.84;Pesca
25/07/13;2638.94;Running
29/07/13;1471.2;Casual
30/07/13;5131.34;Pesca
01/08/13;24315.39;Calcio
03/08/13;429.82;Casual
03/08/13;488.49;Nuoto
06/08/13;3121.43;Casual
20/08/13;7073.57;Calcio
25/08/13;1500.95;Calcio
01/09/13;601.74;Pesca
04/09/13;4339.11;Running
06/09/13;2987.98;Pesca
06/09/13;368.42;Subacquea
10/09/13;1225.59;Calcio
16/09/13;7601.63;Calcio
16/09/13;5354.84;Pesca
17/09/13;552.62;Casual
06/10/13;1716.81;Casual
15/11/13;1842.08;Casual
16/11/13;1716.81;Calcio
19/11/13;2960.97;Pesca
06/12/13;515.78;Calcio
06/12/13;54.58;Casual
12/12/13;601.74;Mare
12/12/13;294.73;Subacquea
15/12/13;1200.76;Basket
23/12/13;1842.08;Calcio
23/12/13;1633.31;Pesca
06/01/14;16346.71;Sci
07/01/14;2483.39;Running
15/01/14;2164.92;Calcio
16/01/14;2947.32;Casual
17/01/14;1814.79;Casual
22/01/14;851.45;Bambino
23/01/14;982.44;Calcio
23/01/14;3188.02;Pesca
25/01/14;5403.42;Calcio
27/01/14;4664.41;Calcio
27/01/14;1129.81;Fitness
27/01/14;2128.62;Running
28/01/14;1307.74;Sci
29/01/14;1815.06;Calcio
29/01/14;3252.97;Sci
30/01/14;2401.52;Calcio
30/01/14;2101.33;Casual
30/01/14;1088.05;Fitness
30/01/14;5198.53;Running
30/01/14;2817.15;Sci
31/01/14;2292.36;Running
02/02/14;637.49;Pesca
03/02/14;3106.15;Calcio
03/02/14;1472.02;Casual
03/02/14;2128.62;Running
03/02/14;1105.25;Sci
04/02/14;3274.8;Arti marziali
04/02/14;5411.33;Calcio
04/02/14;3293.9;Casual
04/02/14;6764.54;Fitness
04/02/14;7268.69;Pesca
04/02/14;3929.76;Running
04/02/14;2769.94;Sci
04/02/14;10346.18;Snowboard
05/02/14;5054.11;Calcio
05/02/14;10234.84;Casual
05/02/14;14997.33;Fitness
05/02/14;1888.47;Pesca
05/02/14;2046.75;Running
06/02/14;13762.35;Calcio
06/02/14;8362.75;Casual
06/02/14;1125.71;Fitness
06/02/14;15340.25;Pesca
06/02/14;11771.27;Sci
07/02/14;3413.98;Calcio
07/02/14;10706.96;Casual
07/02/14;2072.95;Fitness
07/02/14;9386.94;Pesca
07/02/14;4680.24;Running
08/02/14;1539.43;Calcio
08/02/14;654.96;Casual
08/02/14;592.19;Fitness
08/02/14;243.15;Nuoto
08/02/14;1655.41;Pesca
08/02/14;1801.14;Rugby
08/02/14;515.78;Subacquea
09/02/14;4880.82;Calcio
09/02/14;11948.65;Casual
09/02/14;1231.05;Fitness
09/02/14;879.01;Nuoto
09/02/14;8432.61;Pesca
09/02/14;4939.49;Running
10/02/14;3990.07;Calcio
10/02/14;10713.78;Casual
10/02/14;98.13;Fitness
10/02/14;5835.56;Pesca
10/02/14;7641.2;Running
10/02/14;2161.37;Sci
11/02/14;4702.61;Calcio
11/02/14;5717.26;Casual
11/02/14;3160.32;Fitness
11/02/14;5786.03;Pesca
11/02/14;1472.02;Rugby
11/02/14;4964.6;Running
11/02/14;6245.32;Sci
11/02/14;5752.73;Snowboard
12/02/14;4550.33;Calcio
12/02/14;11772.91;Casual
12/02/14;3931.94;Fitness
12/02/14;993.36;Mare
12/02/14;316.84;Nuoto
12/02/14;5292.9;Pesca
12/02/14;4966.78;Running
12/02/14;734.37;Sci
12/02/14;571.18;Snowboard
13/02/14;4484.57;Calcio
13/02/14;9008.97;Casual
13/02/14;1295.18;Pesca
13/02/14;7584.6;Running
13/02/14;7323.27;Sci
13/02/14;19954.45;Snowboard
14/02/14;1526.06;Basket
14/02/14;4202.66;Calcio
14/02/14;574.73;Fitness
14/02/14;628.76;Pesca
15/02/14;3945.04;Calcio
15/02/14;4587.99;Casual
15/02/14;3014.18;Fitness
15/02/14;2190.84;Pesca
15/02/14;2046.75;Running
15/02/14;6115.96;Snowboard
16/02/14;1468.75;Calcio
16/02/14;810.51;Casual
16/02/14;1681.06;Fitness
16/02/14;754.02;Pesca
16/02/14;687.71;Running
16/02/14;543.07;Snowboard
17/02/14;2206.12;Fitness
17/02/14;680.07;Pesca
17/02/14;2161.37;Sci
18/02/14;1264.89;Calcio
18/02/14;294.73;Fitness
20/02/14;3981.07;Calcio
20/02/14;3929.76;Casual
20/02/14;921.04;Nuoto
20/02/14;3076.95;Pesca
20/02/14;7450.17;Sci
21/02/14;3368.13;Calcio
21/02/14;6285.98;Casual
21/02/14;4363.37;Fitness
21/02/14;3067.67;Pesca
21/02/14;2101.33;Running
21/02/14;3252.97;Sci
22/02/14;5107.05;Calcio
22/02/14;5220.3;Fitness
22/02/14;2667.6;Pesca
23/02/14;884.2;Calcio
23/02/14;3504.85;Casual
23/02/14;543.34;Fitness
23/02/14;5948.26;Pesca
23/02/14;1359.04;Snowboard
23/02/14;953.24;Trekking
24/02/14;5563.07;Calcio
24/02/14;5821.23;Casual
24/02/14;1660.32;Fitness
24/02/14;601.74;Mare
